Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
129,AAPL,2015-11-27 00:00:00+00:00,117.81,118.41,117.6,118.29,13046445,109.5239949965,110.0817948182,109.3287650589,109.9702348539,13046445,0.0,1.0,116.8045,117.69510676400502,52.27683518830668,0.5955605537200199
130,AAPL,2015-11-30 00:00:00+00:00,118.3,119.41,117.75,117.99,39180322,109.9795315176,111.0114611878,109.4682150143,109.691334943,39180322,0.0,1.0,117.40050000000001,117.80508735236816,53.54075828950496,0.604698270519819
131,AAPL,2015-12-01 00:00:00+00:00,117.34,118.81,116.86,118.75,34852374,109.0870518028,110.453661366,108.6408119454,110.3978813839,34852374,0.0,1.0,117.71699999999998,117.7205260155737,50.70726963685168,0.5283851053855244
132,AAPL,2015-12-02 00:00:00+00:00,116.28,118.11,116.08,117.05,33386563,108.1016054511,109.8028949074,107.9156721772,108.8174485556,33386563,0.0,1.0,117.976,117.45861219455962,47.70519197171815,0.3780157013015497
133,AAPL,2015-12-03 00:00:00+00:00,115.2,116.79,114.22,116.55,41569509,107.097565772,108.5757352995,106.1864927298,108.3526153709,41569509,0.0,1.0,117.76699999999998,117.04795543191155,44.79523800311141,0.16974319723233577
134,AAPL,2015-12-04 00:00:00+00:00,119.03,119.25,115.11,115.29,57776977,110.6581879673,110.8627145686,107.0138957987,107.1812357452,57776977,0.0,1.0,117.79199999999999,117.4083271715646,55.22580582847887,0.3101594040472406
135,AAPL,2015-12-07 00:00:00+00:00,118.28,119.86,117.81,118.98,32084249,109.9609381902,111.4298110541,109.5239949965,110.6117046489,32084249,0.0,1.0,117.69000000000001,117.56681314037125,53.10962949037861,0.3568084617620997
136,AAPL,2015-12-08 00:00:00+00:00,118.23,118.6,116.86,117.52,34309450,109.9144548717,110.2584314284,108.6408119454,109.2543917493,34309450,0.0,1.0,117.73799999999999,117.68739256939479,52.96392150616944,0.3853020715186233
137,AAPL,2015-12-09 00:00:00+00:00,115.62,117.69,115.08,117.64,46361357,107.4880256472,109.4124350321,106.9860058076,109.3659517137,46361357,0.0,1.0,117.412,117.31150301132264,45.88685103521289,0.19503008974358238
138,AAPL,2015-12-10 00:00:00+00:00,116.17,116.94,115.51,116.04,29212727,107.9993421504,108.715185255,107.3857623465,107.8784855224,29212727,0.0,1.0,117.22600000000003,117.10395700926381,47.47946099348456,0.08760867849827036
